, ,Area,Mean,Min,Max,X,Y
17_025_Gm,4,0,49,49,49,2051.667,1668.667
17_025_Gm,5,0,24,24,24,2101.5,1458
17_025_Gm,6,0,24,24,24,1726,1504
17_025_Gm,7,0,36,36,36,1233.5,1579.5
17_025_Gm,8,0,26,26,26,914,1652
17_025_Gm,9,0,126,126,126,913,1768.5
17_025_Gm,10,0,162,162,162,1245.333,1821
17_025_Gm,11,0,197,197,197,1660.5,1900.5
17_025_Gm,12,0,219,219,219,2120,1851.333
17_025_Gm,13,0,99,99,99,611,1700
17_025_Gm,14,0,71,71,71,238,1236
17_025_Gm,15,0,89,89,89,720.5,1243.25
17_026_Gm,1,0,203,203,203,155.333,1986.333
17_026_Gm,2,0,66,66,66,378,2085.667
17_026_Gm,3,0,22,22,22,396,1857.667
17_026_Gm,4,0,62,62,62,970,1959
17_026_Gm,5,0,20,20,20,1232,1557.5
17_026_Gm,6,0,54,54,54,1861,1621.333
17_026_Gm,7,0,44,44,44,2698.333,1871
17_026_Gm,8,0,64,64,64,3279.5,2038.75
17_026_Gm,9,0,177,177,177,3289.25,2261.25
17_026_Gm,10,0,166,166,166,2718.333,2347
17_026_Gm,11,0,205,205,205,1914.333,2418
17_026_Gm,12,0,180,180,180,884.5,2321.5
17_026_Gm,13,0,161,161,161,3914,2176
17_026_Gm,14,0,58,58,58,1507,1199.667
17_026_Gm,15,0,50,50,50,2038.333,1215.5
17_027_Gm,1,0,132,132,132,960,1885
17_027_Gm,2,0,67,67,67,1141,2008
17_027_Gm,3,0,25,25,25,1195,1856
17_027_Gm,4,0,42,42,42,1624.333,2001.333
17_027_Gm,5,0,22,22,22,1740.667,1707
17_027_Gm,6,0,29,29,29,2157.5,1798
17_027_Gm,7,0,42,42,42,2750,1976.5
17_027_Gm,8,0,49,49,49,3226,2084
17_027_Gm,9,0,153,153,153,3218,2248.667
17_027_Gm,10,0,203,203,203,2791.667,2322
17_027_Gm,11,0,176,176,176,2136,2356.5
17_027_Gm,12,0,95,95,95,1540,2250.25
17_027_Gm,13,0,203,203,203,3692.333,2198.667
17_027_Gm,14,0,102,102,102,2492.25,1471
17_027_Gm,15,0,130,130,130,3174,1536
17_028_Gm,1,0,109,109,109,750,2311
17_028_Gm,2,0,69,69,69,946,2426
17_028_Gm,3,0,27,27,27,993,2246
17_028_Gm,4,0,50,50,50,1478.5,2364.5
17_028_Gm,5,0,48,48,48,1624,1982
17_028_Gm,6,0,28,28,28,2084.333,2031
17_028_Gm,7,0,38,38,38,2738.333,2171.333
17_028_Gm,8,0,48,48,48,3214,2330
17_028_Gm,9,0,128,128,128,3205.5,2520.5
17_028_Gm,10,0,132,132,132,2748,2554.5
17_028_Gm,11,0,160,160,160,2093.75,2642.5
17_028_Gm,12,0,122,122,122,1382.333,2626
17_028_Gm,13,0,141,141,141,3699,2445
17_028_Gm,14,0,106,106,106,1700.5,1556.5
17_028_Gm,15,0,102,102,102,2295.125,1567.25
17_029_Gm,1,0,141,141,141,1033.333,2081.667
17_029_Gm,2,0,73,73,73,1200,2173.667
17_029_Gm,3,0,32,32,32,1237.333,2010.333
17_029_Gm,4,0,66,66,66,1617,2181.5
17_029_Gm,5,0,25,25,25,1708,1907.5
17_029_Gm,6,0,31,31,31,2003.667,1989
17_029_Gm,7,0,65,65,65,2509.333,2138.333
17_029_Gm,8,0,57,57,57,2919.5,2237.75
17_029_Gm,9,0,202,202,202,2923.667,2378
17_029_Gm,10,0,179,179,179,2575.667,2423.333
17_029_Gm,11,0,218,218,218,2040.5,2448
17_029_Gm,12,0,204,204,204,1600.75,2387.75
17_029_Gm,13,0,194,194,194,3307.333,2329
17_029_Gm,14,0,95,95,95,2280.375,1648.125
17_029_Gm,15,0,79,79,79,2947.75,1661.75
17_030_Gm,1,0,147,147,147,212,2024.333
